b3437,GLUCONOKINII-MONOMER
b2440,EUTC-MONOMER
b3431,EG10381-MONOMER
b2176,G7148-MONOMER
b3977,tyrU-tRNA
b1542,G6816-MONOMER
b4024,ASPKINIII-MONOMER
b1314,G6652-MONOMER
b3935,EG10763-MONOMER
b3575,EG12279-MONOMER
b2112,EG11991-MONOMER
b4388,PSERPHOSPHA-MONOMER
b4107,EG10712-MONOMER
b0615,CITTRANS-MONOMER
b3021,G7571-MONOMER
b3495,EG11390-MONOMER
b4191,G7854-MONOMER
b1943,G379-MONOMER
b3468,EG12214-MONOMER
b1257,EG11125-MONOMER
b1472,G6773-MONOMER
b0746,RNA0-300
b0718,G6387-MONOMER
b2986,G7552-MONOMER
b1907,TYRP-MONOMER
b2288,NUOA-MONOMER
b3248,EG11298-MONOMER
b1336,ABGT-MONOMER
b3488,EG12225-MONOMER
b0624,EG12209-MONOMER
b2987,PITB-MONOMER
b0220,G6104-MONOMER
b1184,EG11056-MONOMER
b0304,G6174-MONOMER
b0181,UDPNACETYLGLUCOSAMACYLTRANS-MONOMER
b2702,G8210-MONOMER
b0056,EG12610-MONOMER
b1496,YDDA-MONOMER
b3042,G7582-MONOMER
b4080,EG11952-MONOMER
b2827,THYMIDYLATESYN-MONOMER
b0616,CITRYLY-MONOMER
b3284,EG11605-MONOMER
b0811,GLNH-MONOMER
b0240,EG11092-MONOMER
b2072,G7111-MONOMER
b4083,EG11955-MONOMER
b1935,G7043-MONOMER
b1708,EG11133-MONOMER
b4136,DSBD-MONOMER
b2492,FOCB-MONOMER
b2237,EG11422-MONOMER
b1356,G6680-MONOMER
b0260,B0260-MONOMER
b3904,RHAMNULOKIN-MONOMER
b0055,EG11570-MONOMER
b0376,EG12867-MONOMER
b1749,EG11073-MONOMER
b3730,NAG1P-URIDYLTRANS-MONOMER
b1560,G6831-MONOMER
b2574,L-ASPARTATE-OXID-MONOMER
b2233,EG12850-MONOMER
b4598,MONOMER0-761
b3503,EG12237-MONOMER
b4277,G7899-MONOMER
b2446,G7276-MONOMER
b0589,FEPG-MONOMER
b0617,ACPSUB-MONOMER
b3125,TSA-REDUCT-MONOMER
b1780,G6966-MONOMER
b1963,G7051-MONOMER
b4478,GALACTONATE-DEHYDRATASE-MONOMER
b4354,G7942-MONOMER
b4459,SRAL-RNA
b3933,EG11529-MONOMER
b2330,EG12449-MONOMER
b2792,G7450-MONOMER
b1678,G6904-MONOMER
b0045,YAAU-MONOMER
b2895,FLAVODOXIN2-MONOMER
b3465,EG10343-MONOMER
b3132,G7631-MONOMER
b3272,RRFF-RRNA
b4116,EG11966-MONOMER
b2321,EG10229-MONOMER
b3706,EG10997-MONOMER
b1311,YCJO-MONOMER
b1812,PABASYN-COMPI-MONOMER
b3183,G7656-MONOMER
b1573,EG11302-MONOMER
b4070,CYTOCHROMEC552-MONOMER
b1583,G6841-MONOMER
b0526,CYSS-MONOMER
b3632,EG11341-MONOMER
b1050,EG12689-MONOMER
b3725,PSTB-MONOMER
b2291,G7185-MONOMER
b1434,G6745-MONOMER
b0303,G6173-MONOMER
b2296,ACETATEKINA-MONOMER
b3352,YHES-MONOMER
b0911,EG10900-MONOMER
b2360,G7229-MONOMER
b2400,GLURS-MONOMER
b0502,G6273-MONOMER
b0515,G6284-MONOMER
b0680,GLNS-MONOMER
b0684,FLAVODOXIN1-MONOMER
b0781,EG11595-MONOMER
b2331,G7202-MONOMER
b3702,PD03831
b3477,NIKB-MONOMER
b3783,EG10845-MONOMER
b0271,G6143-MONOMER
b4021,EG11920-MONOMER
b0749,RNA0-303
b0651,G6358-MONOMER
b3962,UDHA-MONOMER
b3836,TATA
b4589,MONOMER0-2814
b3869,PROTEIN-NRII
b4001,EG11917-MONOMER
b2742,EG12111-MONOMER
b0496,YBBP-MONOMER
b2691,argQ-tRNA
b1798,G6984-MONOMER
b2753,EG10488-MONOMER
b3843,EG11396-MONOMER
b4108,EG10711-MONOMER
b1533,EG11639-MONOMER
b0750,QUINOLINATE-SYNTHA-MONOMER
b3223,NANE-MONOMER
b4368,leuV-tRNA
b2841,ARAE-MONOMER
b3035,EG11009-MONOMER
b3732,ATPD-MONOMER
b1188,EG11516-MONOMER
b3611,EG12295-MONOMER
b1490,G6784-MONOMER
b1822,EG12207-MONOMER
b0305,G6175-MONOMER
b3447,EG10374-MONOMER
b3774,KETOLREDUCTOISOM-MONOMER
b2991,EG11804-MONOMER
b3387,EG10204-MONOMER
b4332,G7929-MONOMER
b2903,GCVP-MONOMER
b0758,GALACTURIDYLYLTRANS-MONOMER
b3439,G7756-MONOMER
b4525,MONOMER0-2668
b4346,EG10574-MONOMER
b0266,EG12339-MONOMER
b4446,RYGC-RNA
b0880,EG11111-MONOMER
b3658,selC-tRNA
b0052,PDXA-MONOMER
b2507,GMP-SYN-MONOMER
b1101,PTSG-MONOMER
b4007,RRSE-RRNA
b1553,G6826-MONOMER
b2899,G7512-MONOMER
b3999,EG11916-MONOMER
b3450,UGPC-MONOMER
b1192,G6621-MONOMER
b0946,G6486-MONOMER
b0384,EG11401-MONOMER
b4609,RNA0-331
b2110,EG11989-MONOMER
b3590,EG10942-MONOMER
b3741,EG10375-MONOMER
b4235,EG10741-MONOMER
b0028,EG11080-MONOMER
b2488,MONOMER0-144
b0115,E2P-MONOMER
b0011,G6082-MONOMER
b2881,G7500-MONOMER
b3564,XYLULOKIN-MONOMER
b1892,EG10320-MONOMER
b0761,MONOMER0-185
b0766,EG11239-MONOMER
b0438,EG10159-MONOMER
b4338,G7934-MONOMER
b4042,DIACYLGLYKIN-MONOMER
b2099,G7131-MONOMER
b1199,MONOMER0-1261
b4355,TSR-MONOMER
b1981,SHIA-MONOMER
b1138,G6583-MONOMER
b2970,G7537-MONOMER
b0634,EG10607-MONOMER
b4020,EG11919-MONOMER
b0026,ILES-MONOMER
b1992,COBS-MONOMER
b2914,RIB5PISOMA-MONOMER
b2536,HCAT-MONOMER
b3212,GLUSYNLARGE-MONOMER
b3546,EG12267-MONOMER
b0122,EG11089-MONOMER
b2499,AIRS-MONOMER
b2215,EG10670-MONOMER
b0563,G6317-MONOMER
b0629,EG11594-MONOMER
b1653,EG11548-MONOMER
b4348,EG10460-MONOMER
b4025,PGLUCISOM
b0723,SDH-FLAVO
b0682,G6371-MONOMER
b0459,MALTACETYLTRAN-MONOMER
b2473,G7296-MONOMER
b3472,G7767-MONOMER
b3936,EG10889-MONOMER
b0699,EG11521-MONOMER
b1235,EG12121-MONOMER
b0587,EG10297-MONOMER
b2114,METG-MONOMER
b3973,BIOTINLIG-MONOMER
b0836,G6436-MONOMER
b2438,G7270-MONOMER
b4262,G7889-MONOMER
b1323,PD00413
b3150,G7644-MONOMER
b1922,EG11355-MONOMER
b0578,DIHYDROPTERIREDUCT-MONOMER
b0128,YADH-MONOMER
b0178,EG10455-MONOMER
b0755,GPMA-MONOMER
b2106,G7138-MONOMER
b0855,POTG-MONOMER
b3394,G7738-MONOMER
b2582,RED-THIOREDOXIN2-MONOMER
b1785,G6971-MONOMER
b3842,EG10839-MONOMER
b0007,YAAJ-MONOMER
b2548,G7342-MONOMER
b2882,YGFO-MONOMER
b0195,EG11503-MONOMER
b3772,THREDEHYDSYN-MONOMER
b2292,G7186-MONOMER
b0407,EG11096-MONOMER
b3996,EG11702-MONOMER
b3601,PD00369
b1848,EG11808-MONOMER
b0802,EG12422-MONOMER
b2992,EG11803-MONOMER
b0435,EG10125-MONOMER
b1130,PHOP-MONOMER
b2518,NUCLEOSIDE-DIP-KIN-MONOMER
b1998,G7078-MONOMER
b0970,EG11113-MONOMER
b2688,GLUTCYSLIG-MONOMER
b0183,EG10861-MONOMER
b1955,G7048-MONOMER
b1530,PD00364
b3638,EG11312-MONOMER
b2188,EG12049-MONOMER
b1344,G6675-MONOMER
b3491,MONOMER0-2489
b2649,G7384-MONOMER
b2277,NUOM-MONOMER
b3917,SBP-MONOMER
b3606,EG11888-MONOMER
b2146,G7145-MONOMER
b2171,EG12035-MONOMER
b1962,EG12710-MONOMER
b1283,EG10679-MONOMER
b3800,EG10090-MONOMER
b0068,SFUA-MONOMER
b4223,EG11213-MONOMER
b4225,EG12096-MONOMER
b3290,TRKA-MONOMER
b3023,G7573-MONOMER
b4168,EG11757-MONOMER
b2489,MONOMER0-151
b3537,EG12264-MONOMER
b1559,G6830-MONOMER
b0668,glnW-tRNA
b3557,G7776-MONOMER
b4096,PHNL-MONOMER
b2396,alaX-tRNA
b0866,G6451-MONOMER
b2604,EG12880-MONOMER
b4613,MONOMER0-1941
b3240,G7685-MONOMER
b3940,ASPKINIIHOMOSERDEHYDROGII-MONOMER
b4413,RNA0-141
b1226,NARJ-MONOMER
b3691,YIDT-MONOMER
b0567,EG12448-MONOMER
b2979,G7545-MONOMER
b4031,XYLE-MONOMER
b2800,FUCPALDOL-MONOMER
b1333,EG11246-MONOMER
b4063,PD04132
b2915,G7515-MONOMER
b3709,TNAB-MONOMER
b3947,EG11906-MONOMER
b3302,EG10888-MONOMER
b3893,FDOH-MONOMER
b1484,YDDP-MONOMER
b1958,EG12709-MONOMER
b1162,G6602-MONOMER
b3925,EG11517-MONOMER
b3030,EG10687-MONOMER
b4144,G7834-MONOMER
b0397,EG10927-MONOMER
b3232,G7680-MONOMER
b0655,G6359-MONOMER
b0914,EG10613-MONOMER
b2196,EG12054-MONOMER
b1863,EG10925-MONOMER
b4637,MONOMER0-2801
b0298,G6534-MONOMER
b0227,G6111-MONOMER
b2032,EG11985-MONOMER
b2778,G7444-MONOMER
b0875,AQPZ-MONOMER
b0693,ORNDECARBOXDEG-MONOMER
b0729,SUCCCOASYN-ALPHA
b1149,G6593-MONOMER
b1414,EG12110-MONOMER
b2430,G7265-MONOMER
b0365,TAUA-MONOMER
b1080,FLGI-FLAGELLAR-P-RING
b0986,G6507-MONOMER
b1265,EG11274-MONOMER
b0672,leuW-tRNA
b2235,NRDB-MONOMER
b2241,ANGLYC3PDEHYDROGSUBUNITA-MONOMER
b3140,AGAD-MONOMER
b0042,EG11563-MONOMER
b0763,MODA-MONOMER
b0741,EG10684-MONOMER
b1729,G6934-MONOMER
b3972,UDPNACETYLMURAMATEDEHYDROG-MONOMER
b3633,KDOTRANS-MONOMER
b2101,G7133-MONOMER
b0447,G6247-MONOMER
b0082,EG11085-MONOMER
b3342,EG10911-MONOMER
b0796,EG12406-MONOMER
b0824,G6427-MONOMER
b4411,MONOMER0-1563
b2546,YPHD-MONOMER
b3097,G7611-MONOMER
b0777,EG10119-MONOMER
b2490,G7307-MONOMER
b3890,EG11855-MONOMER
b1580,G6838-MONOMER
b3970,RRLB-RRNA
b4615,MONOMER0-2827
b4704,RNA0-351
b0311,CHD-MONOMER
b0282,G6153-MONOMER
b3844,FMNREDUCT-MONOMER
b3186,EG50001-MONOMER
b2790,G7448-MONOMER
b2907,OCTAPRENYL-METHOXYPHENOL-OH-MONOMER
b3148,G7643-MONOMER
b1631,G6875-MONOMER
b2697,ALAS-MONOMER
b1697,G6920-MONOMER
b4330,G7927-MONOMER
b1463,G6770-MONOMER
b2989,G7553-MONOMER
b1078,FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN
b0429,CYOD-MONOMER
b2457,G7287-MONOMER
b2460,G7290-MONOMER
b1048,EG11885-MONOMER
b4130,YJDL-MONOMER
b0344,BETAGALACTOSID-MONOMER
b4196,G7858-MONOMER
b4278,G7900-MONOMER
b0635,EG10606-MONOMER
b2703,GUTA-MONOMER
b0410,EG11097-MONOMER
b2620,EG11782-MONOMER
b0597,EG11105-MONOMER
b4523,MONOMER0-2886
b0737,EG11010-MONOMER
b3882,EG11847-MONOMER
b2629,G7364-MONOMER
b0864,ARTP-MONOMER
b0525,EG10758-MONOMER
b3930,DMK-MONOMER
b4468,G7544-MONOMER
b3593,EG10846-MONOMER
b1885,TAP-MONOMER
b1132,EG11345-MONOMER
b2902,G7514-MONOMER
b4334,G7931-MONOMER
b1360,G6684-MONOMER
b3458,LIVK-MONOMER
b0119,EG12605-MONOMER
b3816,CORA-MONOMER
b1864,EG11137-MONOMER
b3676,EG11696-MONOMER
b1788,G6974-MONOMER
b4141,B4141-MONOMER
b0819,G6422-MONOMER
b2682,G7405-MONOMER
b2504,G7315-MONOMER
b2420,G7261-MONOMER
b1448,G6759-MONOMER
b1432,G6743-MONOMER
b0539,G6295-MONOMER
b2040,DTDPDEHYRHAMREDUCT-MONOMER
b2282,NUOH-MONOMER
b3668,UHPB-MONOMER
b3978,glyT-tRNA
b0224,G6108-MONOMER
b2111,EG11990-MONOMER
b2875,G7494-MONOMER
b0865,G6450-MONOMER
b1059,SARCOX-MONOMER
b0150,EG10302-MONOMER
b2621,SSRA-RNA
b0645,G6352-MONOMER
b0038,CARNDEHYDRA-MONOMER
b3748,EG10817-MONOMER
b2994,HYBC-MONOMER
b2036,GALPMUT-MONOMER
b3902,RHAMNULPALDOL-MONOMER
b0665,glnV-tRNA
b4314,EG10308-MONOMER
b1275,PD00232
b3760,aspT-tRNA
b2269,G7176-MONOMER
b4349,EG10458-MONOMER
b3974,PANTOTHENATE-KIN-MONOMER
b3073,G7596-MONOMER
b4172,EG10438-MONOMER
b1452,G6763-MONOMER
b2551,GLYOHMETRANS-MONOMER
b2510,G7318-MONOMER
b0010,EG11512-MONOMER
b2997,MONOMER0-145
b1499,G6789-MONOMER
b3416,AMYLOMALT-MONOMER
b0622,EG12180-MONOMER
b2920,G7517-MONOMER
b0957,EG10669-MONOMER
b0113,EG11088-MONOMER
b2408,G7256-MONOMER
b2082,G7119-MONOMER
b2627,G7362-MONOMER
b1151,G6595-MONOMER
b3019,EG10686-MONOMER
b2386,MONOMER0-6
b0853,G6447-MONOMER
b2124,EG12005-MONOMER
b4328,G7925-MONOMER
b2838,DIAMINOPIMDECARB-MONOMER
b2202,NAPC-MONOMER
b0005,G6081-MONOMER
b2162,EG12030-MONOMER
b2328,EG10580-MONOMER
b3412,EG10122-MONOMER
b2826,EG12081-MONOMER
b4687,MONOMER0-2860
b0191,EG12354-MONOMER
b3941,METHYLENETHFREDUCT-MONOMER
b0552,MONOMER0-4234
b3654,YICE-MONOMER
b3648,GUANYL-KIN-MONOMER
b2281,NUOI-MONOMER
b1608,RSTA-MONOMER
b2464,TRANSALDOLA-MONOMER
b0066,SFUC-MONOMER
b1339,G6671-MONOMER
b0505,G6275-MONOMER
b3386,RIBULP3EPIM-MONOMER
b1587,G6845-MONOMER
b1745,SUCCARGDIHYDRO-MONOMER
b4174,EG10436-MONOMER
b3204,EG11682-MONOMER
b1128,EG11430-MONOMER
b1502,G6792-MONOMER
b1003,EG12703-MONOMER
b3525,EG12252-MONOMER
b1640,G6880-MONOMER
b3924,FLAVONADPREDUCT-MONOMER
b2819,EG10826-MONOMER
b3423,PD03576
b2077,B2077-MONOMER
b0966,G6500-MONOMER
b3742,EG11199-MONOMER
b4047,EG11930-MONOMER
b2954,G7530-MONOMER
b1592,YNFJ-MONOMER
b0067,SFUB-MONOMER
b1098,DTMPKI-MONOMER
b2456,G7286-MONOMER
b1430,EG11884-MONOMER
b2485,MONOMER0-142
b1744,SUCCGLUDESUCC-MONOMER
b0212,GLYOXII-MONOMER
b3619,EG10838-MONOMER
b2091,GALACTITOLPDEHYD-MONOMER
b0702,EG11522-MONOMER
b3958,N-ACETYLGLUTPREDUCT-MONOMER
b0353,MHPT-MONOMER
b4567,MONOMER0-2696
b2557,FGAMSYN-MONOMER
b2587,KGTP-MONOMER
b3897,EG11861-MONOMER
b2908,EG10697-MONOMER
b0773,EG11238-MONOMER
b1693,AROD-MONOMER
b3295,EG10893-MONOMER
b3758,RRLC-RRNA
b1081,G366-MONOMER
b2195,EG12053-MONOMER
b4673,MONOMER0-2872
b1734,EG10144-MONOMER
b3875,G7814-MONOMER
b1109,NADH-DHII-MONOMER
b2527,EG12131-MONOMER
b0237,EG10695-MONOMER
b3666,UHPT-MONOMER
b3317,EG10865-MONOMER
b1531,PD00365
b0893,SERS-MONOMER
b3055,EG12434-MONOMER
b1673,G6901-MONOMER
b1658,PD00219
b0714,G6383-MONOMER
b1011,G6522-MONOMER
b1770,G6957-MONOMER
b1595,G6853-MONOMER
b1451,G6762-MONOMER
b4304,SGCC-MONOMER
b0573,G6321-MONOMER
b2375,G7238-MONOMER
b3210,ARCB-MONOMER
b0163,EG12336-MONOMER
b3155,G7649-MONOMER
b0495,YBBA-MONOMER
b3314,EG10902-MONOMER
b3982,EG10667-MONOMER
b0101,EG12314-MONOMER
b3188,EG10656-MONOMER
b3571,ALPHA-AMYL-PERI-MONOMER
b0021,G7762-MONOMER
b2530,G7325-MONOMER
b0286,G6157-MONOMER
b2211,YOJI-MONOMER
b2140,EG12022-MONOMER
b2476,SAICARSYN-MONOMER
b3641,EG11191-MONOMER
b1282,EG11128-MONOMER
b4317,EG10311-MONOMER
b1001,EG12196-MONOMER
b2030,MONOMER0-4237
b1805,ACYLCOASYN-MONOMER
b4183,G7848-MONOMER
b0752,B0752-MONOMER
b0092,DALADALALIGB-MONOMER
b0742,EG12854-MONOMER
b0868,G6453-MONOMER
b3715,EG11725-MONOMER
b1277,GTP-CYCLOHYDRO-II-MONOMER
b1321,G6659-MONOMER
b2964,NUPG-MONOMER
b3510,EG11398-MONOMER
b2261,O-SUCCINYLBENZOATE-COA-SYN-MONOMER
b2837,PD03028
b2448,G7278-MONOMER
b4059,EG10976-MONOMER
b1909,leuZ-tRNA
b0608,G6335-MONOMER
b0133,PANTOATE-BETA-ALANINE-LIG-MONOMER
b2070,G7109-MONOMER
b1724,G6929-MONOMER
b1582,G6840-MONOMER
b0598,EG10167-MONOMER
b3164,EG10743-MONOMER
b2350,G7219-MONOMER
b2552,EG10456-MONOMER
b1374,G6697-MONOMER
b0673,metT-tRNA
b0312,BADH-MONOMER
b3965,EG11022-MONOMER
b1114,EG11619-MONOMER
b0488,G6264-MONOMER
b0400,PHOR-MONOMER
b1845,EG11004-MONOMER
b2358,G7227-MONOMER
b1139,EG10535-MONOMER
b3946,EG11905-MONOMER
b0431,CYOB-MONOMER
b1176,EG10596-MONOMER
b0359,G6211-MONOMER
b2213,PD00230
b2255,G7168-MONOMER
b3276,alaU-tRNA
b0137,EG12326-MONOMER
b4358,G7945-MONOMER
b2610,EG10300-MONOMER
b3901,EG11865-MONOMER
b0317,G6182-MONOMER
b0583,ENTD-MONOMER
b4374,EG12115-MONOMER
b0024,G6087-MONOMER
b2402,valX-tRNA
b2356,G7225-MONOMER
b3327,G7705-MONOMER
b3141,G7636-MONOMER
b2399,EG11432-MONOMER
b3832,EG11472-MONOMER
b0296,G6167-MONOMER
b3323,G7701-MONOMER
b1262,PRAI-IGPS
b2038,DTDPDEHYDRHAMEPIM-MONOMER
b4341,G7937-MONOMER
b1668,G6896-MONOMER
b2930,EG11245-MONOMER
b2786,BARA-MONOMER
b1628,G6872-MONOMER
b3121,EG11174-MONOMER
b0099,EG10626-MONOMER
b1973,G7061-MONOMER
b0924,EG10618-MONOMER
b1039,G6545-MONOMER
b1154,EG12877-MONOMER
b3360,PABASYN-COMPII-MONOMER
b0967,G6501-MONOMER
b4471,LSERINEDEAM3-MONOMER
b1914,EG11140-MONOMER
b2073,G7112-MONOMER
b2010,RPOA-MONOMER
b3306,EG10907-MONOMER
b0903,PYRUVFORMLY-MONOMER
b3705,YIDC
b4706,MONOMER0-4224
b2968,G7535-MONOMER
b3582,EG12286-MONOMER
b0715,G6384-MONOMER
b0155,YADQ-MONOMER
b2045,G7096-MONOMER
b4427,TKE8-RNA
b2254,G7167-MONOMER
b0576,PHEP-MONOMER
b3737,ATPE-MONOMER
b0170,EG11033-MONOMER
b0756,ALDOSE1EPIM-MONOMER
b1941,G377-MONOMER
b0813,EG12134-MONOMER
b4392,EG10950-MONOMER
b3863,EG10746-MONOMER
b3453,UGPB-MONOMER
b4018,PD04099
b2835,EG12455-MONOMER
b0432,CYOA-MONOMER
b3457,LIVH-MONOMER
b1868,EG12379-MONOMER
b1428,G6741-MONOMER
b1015,PUTP-MONOMER
b2715,ASCF-MONOMER
b2403,valY-tRNA
b2966,G7534-MONOMER
b4193,SGAT-MONOMER
b0689,G6374-MONOMER
b2401,valU-tRNA
b0306,G6176-MONOMER
b3938,PD04032
b3558,G7777-MONOMER
b2516,EG10015-MONOMER
b0120,SPED-MONOMER
b0753,G6394-MONOMER
b0990,G6511-MONOMER
b0793,YBHS-MONOMER
b4455,MONOMER0-1605
b0955,G6493-MONOMER
b1571,EG11300-MONOMER
b0888,THIOREDOXIN-REDUCT-NADPH-MONOMER
b1953,G7046-MONOMER
b0638,RIBAZOLEPHOSPHAT-MONOMER
b0148,EG12329-MONOMER
b0706,EG11524-MONOMER
b2540,HCAC-MONOMER
b2419,G7260-MONOMER
b3117,THREDEHYDCAT-MONOMER
b1234,EG12120-MONOMER
b3740,EG10376-MONOMER
b0161,EG10463-MONOMER
b3643,EG10863-MONOMER
b3955,EG11914-MONOMER
b0108,EG12107-MONOMER
b3312,EG10887-MONOMER
b1629,G6873-MONOMER
b2346,G7216-MONOMER
b1881,CHEZ-MONOMER
b0814,EG12117-MONOMER
b0770,B0770-MONOMER
b3215,EG11515-MONOMER
b2585,PHOSPHASERSYN-MONOMER
b3307,EG10913-MONOMER
b1684,EG11378-MONOMER
b4451,SRAI-RNA
b2603,G7354-MONOMER
b3026,EG12658-MONOMER
b2246,B2246-MONOMER
b2377,G7240-MONOMER
b4187,EG11811-MONOMER
b4550,MONOMER0-2687
b2955,G7531-MONOMER
b2437,EG12190-MONOMER
b1525,G6811-MONOMER
b3703,EG10892-MONOMER
b1948,EG11975-MONOMER
b2260,O-SUCCINYLBENZOATE-COA-LIG-MONOMER
b2179,YEJE-MONOMER
b1123,POTD-MONOMER
b0678,GLUCOSAMINE-6-P-DEAMIN-MONOMER
b2646,G7381-MONOMER
b0437,EG10158-MONOMER
b1378,G6701-MONOMER
b1636,PDXY-MONOMER
b3920,EG11874-MONOMER
b0204,RRLH-RRNA
b4505,MONOMER0-2655
b2900,G7513-MONOMER
b4151,FUM-MEMB2
b2765,G7431-MONOMER
b2519,G7322-MONOMER
b3071,G7594-MONOMER
b2544,G7338-MONOMER
b3424,EG10397-MONOMER
b4139,ASPARTASE-MONOMER
b2528,EG12132-MONOMER
b3908,SUPEROX-DISMUTMN-MONOMER
b0419,G6236-MONOMER
b1254,EG11122-MONOMER
b4548,MONOMER0-2686
b1690,B1690-MONOMER
